trip_id,delayed,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,dbscan_cluster
T00000,0,-1.7051647812214203,-0.5841213040729776,-2.026807236727932,-0.09084873585048985,-1.5500854947028484,-0.8277818365233345,-1.288205114772478,2,1
T00001,1,-0.9702770464630316,0.925592823691338,0.4006902751350978,1.2687522383500394,-1.892609526685669,0.0938936074229133,1.1522551491148956,2,1
T00002,0,-2.3319785058946287,0.22682880961430507,0.17021519291904216,-1.9640616858882591,-2.237021455803708,0.4453858961853397,0.06807843993329346,2,1
T00003,1,-0.6585175065191933,0.19874028029763735,0.11139611497608969,1.4455191922416095,-0.9793882505008356,-1.1486927787570314,1.0854139206556643,2,1
T00004,1,0.07438326676642273,0.08684253663340538,-1.3044874430874736,-2.7295098689898096,0.36856447368930334,-1.27516303698838,0.3827696487570713,3,1
T00005,0,-1.732336511162497,1.0765684740081458,1.791091622195821,0.18299178912422748,-1.416613269371504,0.15613138352702827,-0.5839359310486997,2,1
T00006,1,2.2698991349607627,1.5731653342131728,0.22105216036694103,-0.13877490855127766,0.4056717444671169,-0.3204713150025047,-0.06166986023237671,3,1
T00007,1,1.366800267570723,1.414197282826496,2.6609105533430837,-0.8934649779455917,-2.0909327533559665,-0.40314199294008246,0.46743469999470016,3,1
T00008,1,0.9143998351072524,0.801534892193954,1.434971916333894,-0.5705099526406047,-1.4932326722191631,0.24842009350432703,-2.275590891649276,3,1
T00009,0,-1.0836930737351869,-3.753895529850656,1.8092515251732677,-0.22530013232835855,-1.0127749356110107,-2.202499295342957,-1.4163868255969967,1,1
T00010,1,-1.0658662249981905,1.0184788593402785,0.9020533368609468,1.7395025651062768,-1.6859449477103543,-0.10032566547567656,-1.2910100438867385,2,1
T00011,1,1.3314054007569864,-0.989384247790847,-0.37769469681360657,1.1871044744755963,-2.011551497537102,-1.6304128014156,0.21740227062320652,3,1
T00012,0,-2.56821461421706,0.8073836853244498,0.11180256382349128,0.16112986949888208,-0.4312284498832571,-0.1491998995948079,0.11509165560755874,2,1
T00013,1,1.943199549627911,-2.4142366760260607,0.39213255235892297,0.5168992724518308,-0.01553994815667347,-1.288783992157952,-0.759416892857352,1,1
T00014,0,-2.3427867351968916,0.5237250814938778,-0.2775744655844592,1.2729210551584311,-1.4704313039235704,0.29933511605790186,-1.45814269148996,2,1
T00015,1,-0.4867657774066565,0.11347389860121448,-1.3867896403044315,-0.594812349768186,-1.7210182980427398,0.38505109229439294,0.7298374486373104,2,1
T00016,1,2.372296740733701,0.8315102191791435,-0.9567710138479468,1.0555213962616268,0.13627224043365016,-1.3709663900472018,-0.7184752382507757,3,1
T00017,1,1.6469670661478846,1.1652431710889597,0.1525821970557828,2.1974610628639253,-2.775395724638286,-0.7256280665764349,-0.4194408427875389,3,1
T00018,1,-1.3188133652758445,0.32904910553247524,2.6542794222091968,0.8352168876507569,-0.8393170280559376,-1.1051266684176542,0.5031971958148855,2,1
T00019,1,0.4657853963518319,1.1954463548620624,1.2698056841007974,0.7790365534272816,1.3229352393326463,-2.200566256792037,0.3012739840533188,3,1
T00020,1,-0.3058372562520099,1.1127724723988484,0.32155819049506373,-0.04619829693458889,0.29459496986991407,0.5773589771851468,-0.1977022768238226,2,1
T00021,1,0.10313591043143493,1.5029231361396795,0.8331558244269851,1.7358129351260976,0.5966571766790284,-0.00318188243073935,0.6250298050264045,3,1
T00022,1,1.8530324541751475,0.7362013457234498,-0.6170206442504087,0.3719890501698726,-1.0225086103957512,-0.8017454418064036,-1.162016618326395,3,1
T00023,1,0.06032258645741813,0.454463269449319,0.06226011040259307,-0.898556853338944,-0.3915107667336528,-0.7456242607787552,-0.5181353903537114,3,1
T00024,1,-0.39404787283798337,0.32378120497830437,-0.7422955218135173,-0.14534178908863252,-1.8552858140907824,-0.7031644576257357,1.251468988312276,2,1
T00025,0,-2.830963668823574,0.04182378176628759,-0.9037940770212448,-1.693529465575483,-1.3451493945757127,-0.6895732824700965,-0.8492639539499688,2,1
T00026,0,-2.69724961032071,0.3854904698923859,0.9869760029109964,1.8253673475567176,-0.9102746395165784,-2.103981489611189,-0.9019855723297776,2,1
T00027,1,0.05197086487519342,-2.800143735285105,0.193662552079382,1.6229163789149388,-1.2564117474066627,-1.6743202207014007,-1.238372089169319,1,1
T00028,1,2.2427066884468427,-2.2517869005034834,3.0732387511391694,-0.6446229113911969,-1.968567074673004,-0.5082927438059481,-1.1219464875806304,1,1
T00029,0,-2.939182946230106,0.3046172248813992,-2.0885656687087795,0.6478835152128156,-0.22579179485930576,-1.125315818320245,1.132916504332775,2,1
T00030,0,-2.179885341403565,1.0047546341299614,1.2588447694441125,-0.19526393102088105,0.8118629468616346,-1.309527968330388,-1.2938875161728702,2,1
T00031,1,0.528018683145839,0.933057900883204,0.20386486018816696,0.9439867391807474,-0.14607648613016275,-2.023326932189794,1.9920922866257071,3,1
T00032,1,-0.9184037944944516,1.3491543766338223,2.1170348485248667,-0.984397104838372,-1.157454681074812,0.5097215884279316,9.785808092217863e-4,2,1
T00033,0,-2.6474469490582915,0.01898558391203993,0.6930899463890615,-0.9267081219101546,0.763205229613478,-0.2295638076129957,-0.9221237050713648,2,1
T00034,1,-0.4133666993339688,1.3093980674811925,3.0104797394287854,0.22954371139368207,0.3296783454623756,-1.867618677461727,0.820955078763018,3,1
T00035,1,0.6171840624254767,0.9344807785315016,1.2621919889759972,1.320457803322156,-0.410376726532628,-1.7390880110107951,0.6008686105480976,3,1
T00036,1,2.126574478159504,1.653994906353201,1.7286916809838635,-0.7933458770640984,-0.7206532224393829,-1.7188444217236258,0.4803910714914395,3,1
T00037,1,0.4042884900337448,-3.4004880101878614,1.0564072858826927,2.243990138247975,-1.4591034819432376,-0.604428307754344,-0.5840274065245615,1,1
T00038,1,0.05424089213019338,-3.054156035384114,-0.944137543187743,1.6794988806455546,-2.0468077328432273,-0.327852671272481,0.35625997931601056,1,1
T00039,1,-0.93121683003846,0.16910582201747532,1.0610344560806857,-0.1540593165937355,-1.089964197479687,-0.03155617249120046,-0.1253877652648478,2,1
T00040,0,-2.7851532401808,0.12891380513152825,-1.4781681320182694,-0.41529990306018655,-0.1930608400807614,-0.2557047082277003,0.09528717546055872,2,1
T00041,1,-0.2903558922602771,0.6763907226934027,-1.845727490491375,-0.29483638182891875,-0.8568921841045573,-1.32011797415341,-0.933198776870987,2,1
T00042,1,2.462246719574128,-2.9845303385276902,0.5742558819053565,-0.849581034120286,-0.1760047985593457,0.05421287583324885,-0.4464416903486352,1,1
T00043,0,-1.8143485462161777,0.22176466126191863,-1.6623699285402374,1.009922216780945,-0.04504975307584991,-0.6720795333538476,0.700034235875014,2,1
T00044,0,-1.5034263094121478,1.0378798068152455,1.5714370623705791,-0.7522343802369417,-0.21656358764199468,0.4294314880331111,-0.08046694980043176,2,1
T00045,1,0.5699339339826777,1.5798595099469632,1.0836016568539308,-0.7868958219459781,-1.294418494425606,0.9759677027686752,-0.896021444490728,3,1
T00046,1,1.2425143519313298,0.859562603405579,-0.3416494253408897,-1.6323091179978086,-0.8575503675168237,-1.6448937626929376,-0.829524266688573,3,1
T00047,1,-1.1096702612876703,0.8435707163929766,-0.25758112310007053,1.6633986523716575,-2.3667936250645902,0.5795230487820533,-0.2428756739382104,2,1
T00048,0,-1.049407170665836,-3.568065934724432,0.18308171651339292,1.3162563285678417,-1.270258797242981,-0.12766664349891244,-1.5056058081940238,1,1
T00049,1,-0.4895721835886864,0.842183491878862,1.707853157786526,0.6548315274667043,-1.6993251195832395,0.07061180456715843,-0.19559881989060968,2,1
